Date,boj_rate_pct,year
2014-01-01,0.22,2014
2014-02-01,0.212,2014
2014-03-01,0.212,2014
2014-04-01,0.212,2014
2014-05-01,0.21,2014
2014-06-01,0.21,2014
2014-07-01,0.21,2014
2014-08-01,0.21,2014
2014-09-01,0.21,2014
2014-10-01,0.192,2014
2014-11-01,0.182,2014
2014-12-01,0.179,2014
2015-01-01,0.173,2015
2015-02-01,0.171,2015
2015-03-01,0.17,2015
2015-04-01,0.17,2015
2015-05-01,0.169,2015
2015-06-01,0.169,2015
2015-07-01,0.169,2015
2015-08-01,0.169,2015
2015-09-01,0.169,2015
2015-10-01,0.169,2015
2015-11-01,0.169,2015
2015-12-01,0.169,2015
2016-01-01,0.169,2016
2016-02-01,0.098,2016
2016-03-01,0.098,2016
2016-04-01,0.06,2016
2016-05-01,0.06,2016
2016-06-01,0.059,2016
2016-07-01,0.058,2016
2016-08-01,0.058,2016
2016-09-01,0.056,2016
2016-10-01,0.056,2016
2016-11-01,0.056,2016
2016-12-01,0.056,2016
2017-01-01,0.056,2017
2017-02-01,0.056,2017
2017-03-01,0.056,2017
2017-04-01,0.056,2017
2017-05-01,0.056,2017
2017-06-01,0.056,2017
2017-07-01,0.075,2017
2017-08-01,0.056,2017
2017-09-01,0.056,2017
2017-10-01,0.063,2017
2017-11-01,0.063,2017
2017-12-01,0.063,2017
2018-01-01,0.068,2018
2018-02-01,0.068,2018
2018-03-01,0.097,2018
2018-04-01,0.097,2018
2018-05-01,0.078,2018
2018-06-01,0.078,2018
2018-07-01,0.091,2018
2018-08-01,0.091,2018
2018-09-01,0.05,2018
2018-10-01,0.05,2018
2018-11-01,0.05,2018
2018-12-01,0.05,2018
2019-01-01,0.03,2019
2019-02-01,0.03,2019
2019-03-01,0.05,2019
2019-04-01,0.05,2019
2019-05-01,0.049,2019
2019-06-01,0.049,2019
2019-07-01,0.049,2019
2019-08-01,0.009,2019
2019-09-01,0.009,2019
2019-10-01,0.009,2019
2019-11-01,0.018,2019
2019-12-01,0.021,2019
2020-01-01,0.021,2020
2020-02-01,0.021,2020
2020-03-01,0.006,2020
2020-04-01,-0.039,2020
2020-05-01,-0.042,2020
2020-06-01,-0.042,2020
2020-07-01,-0.065,2020
2020-08-01,-0.065,2020
2020-09-01,-0.055,2020
2020-10-01,-0.055,2020
2020-11-01,-0.055,2020
2020-12-01,-0.055,2020
2021-01-01,-0.055,2021
2021-02-01,-0.055,2021
2021-03-01,-0.065,2021
2021-04-01,-0.065,2021
2021-05-01,-0.065,2021
2021-06-01,-0.072,2021
2021-07-01,-0.072,2021
2021-08-01,-0.072,2021
2021-09-01,-0.072,2021
2021-10-01,-0.072,2021
2021-11-01,-0.072,2021
2021-12-01,-0.049,2021
2022-01-01,-0.049,2022
2022-02-01,-0.049,2022
2022-03-01,-0.049,2022
2022-04-01,-0.049,2022
2022-05-01,-0.049,2022
2022-06-01,0.005,2022
2022-07-01,-0.031,2022
2022-08-01,-0.02,2022
2022-09-01,-0.016,2022
2022-10-01,-0.016,2022
2022-11-01,-0.016,2022
2022-12-01,-0.015,2022
2023-01-01,-0.006,2023
2023-02-01,0.001,2023
2023-03-01,-0.008,2023
2023-04-01,-0.001,2023
2023-05-01,-0.019,2023
2023-06-01,-0.003,2023
2023-07-01,-0.003,2023
2023-08-01,-0.003,2023
2023-09-01,0.024,2023
2023-10-01,-0.012,2023
2023-11-01,0.024,2023
2023-12-01,0.052,2023
